grouping,mc_run_id,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
meat <50_male_70-79,500.5,6.126166528464,9.377144449959,18417.879232569,25.06382990113,1.192354242117,0.414881529855,291.4675388466,816.3789792448,28.641061537720002,1.898230035029,3.68397694499,7578.297561315,6.583757238465,0.494319212411,0.141349725142,173.96283965404,355.6431425037,8.129942738957,143.0,male,meat50,70-79
meat50-99_female_20-29,500.5,6.913346378262,11.483908972856,18869.85776377,29.16989082148,1.3406516399069999,0.497019244658,295.2614160434,853.0670371684,31.841355888789998,2.060545786318,4.982134729985001,7541.531275827,7.943107776656,0.534617038965,0.15687443081500002,152.55069897303,367.7782302412,8.220372513929,669.0,female,meat,20-29
meat50-99_female_30-39,500.5,7.135581666559999,11.994261494591,18849.36794149,29.2254934135,1.403059285251,0.507654792695,305.7265789884,846.4207622289,32.48753444322,2.1345663062059996,5.421665292428,6982.762216531,7.672538293349,0.54313455119,0.16255659647499998,154.55306451904,343.45288694410004,8.104817081061,1350.0,female,meat,30-39
meat50-99_female_40-49,500.5,7.4841513295410005,13.124070172109999,18754.89801195,29.674127632340003,1.4980146842389999,0.527166375872,317.0367591402,840.7022575298,33.51153700702,2.244596900867,5.9558698938240004,6919.9495386730005,7.541887432831,0.5706270466229999,0.165837381659,160.36966057549998,345.5619082077,8.215746465209,2710.0,female,meat,40-49
meat50-99_female_50-59,500.5,7.586115661521999,13.376782997640001,18907.62002015,29.5052374866,1.532156192509,0.530448101187,317.6338983009,853.5221349537001,33.984660130049996,2.3703973843929997,6.518233700846,6832.159776515,7.206145802173,0.599948773876,0.170112219974,161.93514754826,344.8009839368,8.238732341323,2682.0,female,meat,50-59
meat50-99_female_60-69,500.5,7.541230540435,13.030556722137,19476.05005277,29.664591317099998,1.527971351039,0.529024886747,317.1013936082,885.5940181619,34.29580924761,2.310522241488,6.253234747709,7013.766822248,7.173320483641,0.581257244623,0.171490270065,164.41421224851,357.6215452649,8.135286261971,1456.0,female,meat,60-69
meat50-99_female_70-79,500.5,7.611196494765,13.55147330904,19784.73988134,29.84623449088,1.554789805749,0.5419647777400001,324.06778185909997,884.0808362441,34.07038653639,2.44457959702,6.896628612935,7440.259916318,7.182639074527,0.632294363731,0.181090788974,172.02069296098,352.6733647825,8.386690774024,450.0,female,meat,70-79
meat50-99_male_20-29,500.5,7.387087141033,11.813753911056999,20069.38641303,31.49161947421,1.416736588672,0.526701588659,315.3292617736,903.8172185316,34.217017216790005,2.0742575968729997,4.604777435769,8263.503182422,8.358448445412,0.539105895701,0.164646471887,170.96125783253,385.28183689630004,8.814498197288,151.0,male,meat,20-29
meat50-99_male_30-39,500.5,7.594977983203,12.457481330451001,20166.20675629,31.79115926408,1.4848983338969999,0.5437868378,327.7357784386,894.9844505135001,34.928180062580005,2.232612735707,5.1109409730560005,8054.402989844,8.659672363392,0.5841242971189999,0.17155369776200002,171.41338260613,382.72785096890004,9.447038258724,304.0,male,meat,30-39
meat50-99_male_40-49,500.5,7.7815126207650005,13.684227209554999,19024.795003260002,31.20309026396,1.5411293765129999,0.553747728038,330.67220348819995,825.7048464031999,34.77660356647,2.26686142418,5.97950826848,6985.3908444710005,7.943785125331,0.562391265267,0.170649555629,165.80292486678,313.12181415699996,8.463580430687,663.0,male,meat,40-49
