mc_run_id,grouping,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_watuse,mean_acid,sd_ghgs,sd_land,sd_watscar,sd_eut,sd_ghgs_ch4,sd_ghgs_n2o,sd_bio,sd_watuse,sd_acid,n_participants,sex,diet_group,age_group
1,meat 100+_male_40-49,15.96394898,37.83126944,27258.6913,56.47278644,3.511484706,1.095424783,653.6308963,1089.182383,59.61058082,7.056087394,20.04772767,12755.10476,23.70065993,1.657624367,0.491080908,428.1159027,490.60995,23.50027984,616,male,meat100,40-49
1,meat 100+_male_50-59,16.13814577,38.96229055,27555.83217,56.15245811,3.5443581,1.072406775,634.8482177,1090.91543,60.17497368,7.93574562,22.88054603,13727.60004,25.58090406,1.886852973,0.518125715,387.3035266,508.9598773,26.5331335,591,male,meat100,50-59
1,meat 100+_male_60-69,15.75445071,38.068416,29409.17463,55.53224108,3.476815143,1.06217686,634.7416142,1122.955001,59.18657654,7.302504418,21.58270505,16384.49221,23.90883259,1.653374677,0.490081486,357.3170465,549.1777872,24.0760602,543,male,meat100,60-69
1,meat 100+_male_70-79,17.81838159,44.70210899,30717.5802,59.95066843,3.934364392,1.189028807,706.9359025,1168.876832,64.15333982,10.14738273,32.61866329,14298.71951,27.33254934,2.245229639,0.646276863,444.5649297,523.2346913,28.47879054,168,male,meat100,70-79
1,meat <50_female_20-29,5.579263622,9.662924809,13789.81058,23.81164265,1.2057432,0.380736543,413.7769324,636.0597685,24.46722034,3.070223375,5.649245593,8349.806011,13.09110605,0.769749096,0.251180626,330.6649923,380.1359277,13.00990849,764,female,meat50,20-29
1,meat <50_female_30-39,5.702501209,9.825545479,15044.1534,24.63603635,1.236797495,0.364016026,419.9817822,669.7180082,25.40147427,3.21909984,5.718040149,9210.903179,13.86370395,0.838600733,0.216029177,355.3089696,423.1933542,13.91268726,1483,female,meat50,30-39
1,meat <50_female_40-49,5.565382029,9.866193361,14962.39848,24.12642715,1.203574652,0.349028867,388.4810236,645.9785725,25.18257808,2.820767902,5.361027897,9547.073159,12.39498128,0.71073264,0.186193436,284.4640791,384.5195616,12.45580347,2093,female,meat50,40-49
1,meat <50_female_50-59,5.437731663,9.683600272,15322.68682,23.90530342,1.162126156,0.338105412,355.7156907,629.1668487,25.43708248,2.828485048,5.454975105,9264.583019,12.43430416,0.701104816,0.200567056,284.0218868,368.5753544,12.49018432,1698,female,meat50,50-59
1,meat <50_female_60-69,5.758502983,10.23579461,16576.40212,25.45321314,1.256563042,0.35211405,383.8300868,670.4610455,27.26638726,2.843040706,5.429567802,9606.367801,12.71083312,0.716193339,0.186892771,287.0487601,387.9742376,12.96381865,1047,female,meat50,60-69
1,meat <50_female_70-79,5.858131602,10.44104023,17267.8878,25.43734969,1.284208324,0.356670233,386.8286199,662.3632843,27.59811403,3.075719655,6.085046541,9788.062026,12.96261876,0.746746539,0.189018252,276.4174912,364.2018912,13.75304809,381,female,meat50,70-79
1,meat <50_male_20-29,7.17765778,12.09369747,16298.07096,29.22929102,1.603013629,0.502018886,548.8217726,762.331814,30.26079138,3.801024584,6.119950072,10235.38321,15.37571207,0.963046221,0.363795107,439.7040938,452.5183799,15.75048506,131,male,meat50,20-29
1,meat <50_male_30-39,7.206922749,12.13622951,19446.81347,30.84733396,1.562975127,0.462583299,529.9012557,850.3197644,31.64584803,3.873643687,6.724252628,12580.31759,18.00883328,0.937618748,0.28185932,377.2730837,531.1560017,17.27196279,370,male,meat50,30-39
1,meat <50_male_40-49,6.831079161,11.78991632,18738.14293,28.57989055,1.487400855,0.422232686,495.6336379,787.204874,30.13321466,3.983772652,7.13716703,14114.48841,15.40794264,1.082106593,0.256846622,459.5799024,515.8965378,16.18954205,448,male,meat50,40-49
1,meat <50_male_50-59,6.522924552,11.52396178,17495.65895,27.59304644,1.429534599,0.409587558,455.3576866,724.2042382,29.44053875,3.175131009,5.96166022,10266.92075,13.26799971,0.837320547,0.235798078,328.3027387,382.6250293,14.06789804,410,male,meat50,50-59
1,meat <50_male_60-69,6.440335922,11.64463952,17963.89176,27.57905456,1.407837593,0.40270692,443.1961927,726.5183925,28.90878563,3.47209603,6.840148685,12271.98401,15.56008732,0.863317817,0.231325739,353.1562577,482.375009,14.82960061,364,male,meat50,60-69
1,meat <50_male_70-79,6.988601818,12.65114421,19535.51777,29.23108345,1.563786848,0.424394183,501.9907461,764.7925924,31.32383023,3.662132868,7.721997088,12550.50496,14.40224687,0.957360727,0.244230705,382.7469039,433.0602277,15.70438067,143,male,meat50,70-79
1,meat50-99_female_20-29,7.659218475,14.47467386,17463.77265,31.45257657,1.623459366,0.540845313,446.578845,767.4884401,32.72947267,3.608405676,8.340932893,8944.316361,14.48384924,0.888180194,0.2670105,296.0622857,389.065846,14.6743588,669,female,meat,20-29
1,meat50-99_female_30-39,7.770700169,14.96991352,18180.95378,31.60448059,1.659384397,0.535712776,439.1289877,770.2934172,33.27969944,3.602347243,8.440716695,9580.368002,14.94133824,0.858075419,0.266994362,280.8773174,415.3828651,14.72642978,1350,female,meat,30-39
1,meat50-99_female_40-49,8.017569701,16.31812686,17824.89212,31.56216527,1.725749646,0.53054143,435.6673821,742.3188008,33.90435127,3.724621519,9.119210678,9086.424105,14.30674756,0.916250686,0.256390491,307.8150436,386.852515,14.46190459,2710,female,meat,40-49
1,meat50-99_female_50-59,7.847880929,16.22915332,17713.49708,31.06557076,1.674313902,0.506288248,402.4335638,718.902669,33.75398121,3.697631945,9.82353806,8507.724086,13.48679649,0.889523879,0.236112028,280.9068952,359.0568507,13.86786696,2682,female,meat,50-59
1,meat50-99_female_60-69,7.946019118,16.08316994,19478.132,32.06136507,1.695463221,0.516778651,408.1289908,755.8498737,35.00893671,3.696929738,9.795078134,9952.214445,14.23301078,0.864408581,0.244908642,260.0344493,381.26268,14.71796186,1456,female,meat,60-69
1,meat50-99_female_70-79,8.558575848,17.60893696,21545.25881,34.42516766,1.834525509,0.565453519,447.7307265,812.3722133,37.07699629,4.154969978,11.3625435,11478.50577,14.67647396,0.981645956,0.275911814,283.3342458,398.9789718,15.67662182,450,female,meat,70-79
